Wijk,Gem HR 1,rrData 1,Gem HR 2,rrData 2,Bloeddruk (Bovendruk) 1,Bloeddruk (Bovendruk) 2,Cholesterol 1,Cholesterol 2,Non-HDL 1,Non-HDL 2,Bloedsuiker 1,Bloedsuiker 2,BMI 1,BMI 2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"De Aker, Sloten, Nieuw-Sloten",70.4,1000,74.4,792,<120,<120,<5,<5,>3.8,>3.8,>11.1,7.8-11,18.5-25,25-30
,68.6,1008,74.1,816,,,,,,,,,,
,66.8,960,74.1,1024,,,,,,,,,,
,66.5,912,74.1,584,,,,,,,,,,
,64.8,984,74.1,944,,,,,,,,,,
,64.1,960,74.1,680,,,,,,,,,,
,62.7,1008,74.1,264,,,,,,,,,,
,63,944,74.1,568,,,,,,,,,,
,63.600002,848,74.1,536,,,,,,,,,,
,65.200005,872,74.1,1096,,,,,,,,,,
,65.200005,920,73.700005,824,,,,,,,,,,
,64.700005,1040,73.6,816,,,,,,,,,,
,62.9,1024,72.5,856,,,,,,,,,,
,62.3,984,73.9,776,,,,,,,,,,
,62.8,872,73,848,,,,,,,,,,
,64.1,800,72.9,824,,,,,,,,,,
,66.3,840,73.3,808,,,,,,,,,,
,66.9,880,72.1,864,,,,,,,,,,
,66.6,992,72.1,312,,,,,,,,,,
,67.9,848,72.1,464,,,,,,,,,,
,69.6,816,72.1,2072,,,,,,,,,,
,71.200005,800,72.1,368,,,,,,,,,,
,73,776,72.1,264,,,,,,,,,,
,74.5,768,72.1,544,,,,,,,,,,
,72.6,880,72.1,1128,,,,,,,,,,
,72.200005,840,72.1,552,,,,,,,,,,
,71.4,944,72.1,336,,,,,,,,,,
,70.9,1064,71.5,856,,,,,,,,,,
,69.200005,1096,70.5,880,,,,,,,,,,
,67.200005,1072,70.6,848,,,,,,,,,,
,65.3,984,70.8,840,,,,,,,,,,
,65.5,912,71.4,824,,,,,,,,,,
,64.4,968,71.4,448,,,,,,,,,,
,62.4,1040,71.4,472,,,,,,,,,,
,60.5,1072,71.4,304,,,,,,,,,,
,60.7,984,71.4,272,,,,,,,,,,
,62.2,912,71.4,1056,,,,,,,,,,
,62,976,71.6,832,,,,,,,,,,
,60.7,1040,71.4,848,,,,,,,,,,
,61.600002,944,71.8,824,,,,,,,,,,
,63,904,71.9,832,,,,,,,,,,
